agent,macro,param_angle,param_power,reward,done,ball_owner
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,0.0,0.022,False,None
B,move,0.0,0.0,0.02,False,None
A,move,0.0,1.0,0.0214,False,None
B,move,0.0,0.0,0.0192,False,None
A,move,0.0,1.0,0.0208,False,None
B,move,0.0,0.0,0.0185,False,None
A,move,0.0,1.0,0.0204,False,A
B,move,0.0,0.0,0.0178,False,A
A,move,0.0,1.0,0.0196,False,A
B,move,0.0,0.0,0.017,False,A
A,move,0.0,1.0,0.019,False,A
B,move,0.0,0.0,0.0162,False,A
A,move,0.0,1.0,0.0184,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,0.0,0.0186,False,A
B,move,0.0,0.0,0.0155,False,A
A,move,0.0,1.0,0.0178,False,A
B,move,0.0,0.0,0.0148,False,A
A,move,0.0,1.0,0.0172,False,A
B,move,0.0,0.0,0.014,False,A
A,move,0.0,1.0,0.0166,False,A
B,move,0.0,0.0,0.0132,False,A
A,move,0.0,1.0,0.016,False,A
B,move,0.0,0.0,0.0125,False,A
A,move,0.0,1.0,0.0154,False,A
B,move,0.0,0.0,0.0118,False,A
A,move,0.0,1.0,0.0148,False,A
B,move,0.0,0.0,0.011,False,A
A,move,0.0,1.0,0.0142,False,A
B,move,0.0,0.0,0.0102,False,A
A,move,0.0,1.0,0.0136,False,A
B,move,0.0,0.0,0.0095,False,A
A,move,0.0,1.0,0.013,False,A
B,move,0.0,0.0,0.0088,False,A
A,move,0.0,1.0,0.0124,False,A
B,move,0.0,0.0,0.008,False,A
A,move,0.0,1.0,0.0118,False,A
B,move,0.0,0.0,0.0072,False,A
A,move,0.0,1.0,0.0112,False,A
B,move,0.0,0.0,0.0065,False,A
A,move,0.0,1.0,0.0106,False,A
B,move,0.0,0.0,0.0058,False,A
A,move,0.0,1.0,0.01,False,A
B,move,0.0,0.0,0.005,False,A
A,move,0.0,1.0,0.0094,False,A
B,move,0.0,0.0,0.0042,False,A
A,move,0.0,1.0,0.0088,False,A
B,move,0.0,0.0,0.0035,False,A
A,move,0.0,1.0,0.0082,False,A
B,move,0.0,0.0,0.0028,False,A
A,move,0.0,1.0,0.0076,False,A
B,move,0.0,0.0,0.0021,False,A
A,move,0.7853981633974483,1.0,0.0073,False,A
B,move,0.0,0.0,0.0016,False,A
A,move,0.7853981633974483,1.0,0.0072,False,A
B,move,0.0,0.0,0.0014,False,A
A,move,0.7853981633974483,1.0,0.0075,False,A
B,move,0.0,0.0,0.0016,False,A
A,move,0.0,1.0,0.0077,False,A
B,move,0.0,0.0,0.0016,False,A
A,move,0.0,1.0,0.0081,False,A
B,move,0.0,0.0,0.0019,False,A
A,move,0.0,1.0,0.0088,False,A
B,move,0.0,0.0,0.0024,False,A
A,move,0.0,0.0,0.009,False,A
B,move,0.0,0.0,0.0024,False,A
A,move,0.0,0.0,0.009,False,A
